Art Unit,Class,Class Title,Subclass From,Subclass To
1656,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,69.2,69.4
1656,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,69.6,69.7
1656,530,CHEMISTRY: NATURAL RESINS OR DERIVATIVES; PEPTIDES OR PROTEINS; LIGNINS OR REACTION PRODUCTS THEREOF,352,385
1656,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,23.6,23.74
1656,930,PEPTIDE OR PROTEIN SEQUENCE,10,40
1656,930,PEPTIDE OR PROTEIN SEQUENCE,100,130
1656,930,PEPTIDE OR PROTEIN SEQUENCE,150,DIG 822
1656,930,PEPTIDE OR PROTEIN SEQUENCE,60,80
1661,PLT,PLANTS,ALL,
1662,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,341,
1662,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,410,431
1662,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,468,470
1662,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,FOR 114,FOR 122
1662,800,MULTICELLULAR LIVING ORGANISMS AND UNMODIFIED PARTS THEREOF AND RELATED PROCESSES,260,323.3
1662,800,MULTICELLULAR LIVING ORGANISMS AND UNMODIFIED PARTS THEREOF AND RELATED PROCESSES,FOR 101,FOR 103
1662,800,MULTICELLULAR LIVING ORGANISMS AND UNMODIFIED PARTS THEREOF AND RELATED PROCESSES,FOR 105,FOR 108
1671,260,CHEMISTRY OF CARBON COMPOUNDS,1,665 R
1671,518,CHEMISTRY: FISCHER-TROPSCH PROCESSES; OR PURIFICATION OR RECOVERY OF PRODUCTS THEREOF,ALL,
1671,552,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1671,556,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1671,560,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1671,562,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1671,564,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1671,568,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1671,570,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1672,554,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,ALL,
1673,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",23,43
1673,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",45,55
1673,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",57,62
1673,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,1.11,22.1
1673,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,25.1,128
1674,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,91.1,91.32
1674,435,CHEMISTRY: MOLECULAR BIOLOGY AND MICROBIOLOGY,91.4,91.53
1674,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",44 A,
1674,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,23.52,23.53
1674,536,ORGANIC COMPOUNDS -- PART OF THE CLASS 532-570 SERIES,24.5,
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",1.1,4.9
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",10.4,10.6
1675,514,"DRUG, BIO-AFFECTING AND BODY TREATING COMPOSITIONS",10.9,11.2
