patentId,artUnit,examinerName,filingDate,issueDate
7178020,2132,"PEESO, THOMAS R",2002-07-17,2007-02-13
7178020,2132,"PEESO, THOMAS R",2002-07-17,2007-02-13
8676609,3691,"GRAHAM, CLEMENT B",2007-01-12,2014-03-18
7958204,2448,"VU, VIET DUY",2008-02-11,2011-06-07
5895468,2771,"ALAM, HOSAIN T",1996-10-07,1999-04-20
8396808,3687,"LUDWIG, PETER L",2009-12-17,2013-03-12
8352317,3682,"ALVAREZ, RAQUEL",2012-04-06,2013-01-08
7584167,2163,"THAI, HANH B",2004-06-22,2009-09-01
6397224,2175,"MOFIZ, APU M",1999-12-10,2002-05-28
5841115,2876,"RODRIGUEZ, DOUGLAS X",1995-06-07,1998-11-24
6182078,2154,"ALAM, HOSAIN T",1999-12-02,2001-01-30
7558807,2166,"WOO, ISAAC M",2004-05-18,2009-07-07
7925981,2448,"LUU, LE HIEN",2003-05-14,2011-04-12
6218930,2685,"NGUYEN, TAI T",2000-03-07,2001-04-17
6384850,2173,"NGUYEN, CAO H",1999-09-21,2002-05-07
8146077,2191,"BROPHY, MATTHEW J",2005-04-22,2012-03-27
6871325,2173,"NGUYEN, CAO H",2001-11-01,2005-03-22
7349837,2123,"THANGAVELU, KANDASAMY",2004-01-22,2008-03-25
7349837,2123,"THANGAVELU, KANDASAMY",2004-01-22,2008-03-25
8473452,2156,"AL HASHEMI, SANA A",2000-09-20,2013-06-25
7818214,3688,"CHAMPAGNE, DONALD",2005-02-08,2010-10-19
8027883,3688,"CHAMPAGNE, DONALD",2010-10-19,2011-09-27
6384850,2173,"NGUYEN, CAO H",1999-09-21,2002-05-07
7271929,2625,"COLES, EDWARD L",2004-09-21,2007-09-18
8630942,3691,"CAMPEN, KELLY SCAGGS",2008-10-22,2014-01-14
8146077,2191,"BROPHY, MATTHEW J",2005-04-22,2012-03-27
6384850,2173,"NGUYEN, CAO H",1999-09-21,2002-05-07
6871325,2173,"NGUYEN, CAO H",2001-11-01,2005-03-22
5940510,2131,"CHACE, CHRISTIAN",1996-01-31,1999-08-17
6871325,2173,"NGUYEN, CAO H",2001-11-01,2005-03-22
6105013,3662,"GREGORY, BERNARR E",1998-03-10,2000-08-15
6237095,2437,"SMITHERS, MATTHEW",1998-01-06,2001-05-22
5569082,3714,"LEWIS, DAVID LEE",1995-04-06,1996-10-29
5709603,3711,"SAGER, MARK ALAN",1996-10-25,1998-01-20
7062683,2114,"LOHN, JOSHUA A",2003-04-22,2006-06-13
7945860,2448,"LUU, LE HIEN",2003-05-14,2011-05-17
8838074,2645,"MEHRA, INDER P",2013-03-04,2014-09-16
8843120,2645,"MEHRA, INDER P",2012-01-13,2014-09-23
8843141,2645,"MEHRA, INDER P",2013-07-17,2014-09-23
8098600,2617,"MEHRA, INDER P",2010-02-01,2012-01-17
8904464,2425,"CHEN, CAI Y",2013-03-13,2014-12-02
8731977,3692,"JOHNSON, GREGORY L",2013-03-15,2014-05-20
8214246,3623,"DICKERSON, TIPHANY B",2004-09-30,2012-07-03
8118221,2887,"LE, THIEN MINH",2010-11-10,2012-02-21
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
8033458,2887,"LE, THIEN MINH",2010-11-10,2011-10-11
8061598,2887,"LE, THIEN MINH",2011-01-24,2011-11-22
8794516,2887,"LE, THIEN MINH",2012-04-03,2014-08-05
8033458,2887,"LE, THIEN MINH",2010-11-10,2011-10-11
7942317,2887,"LE, THIEN MINH",2008-01-15,2011-05-17
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
8118221,2887,"LE, THIEN MINH",2010-11-10,2012-02-21
7334720,2876,"PAIK, STEVEN SANGYUL",2006-01-19,2008-02-26
7942317,2887,"LE, THIEN MINH",2008-01-15,2011-05-17
8118221,2887,"LE, THIEN MINH",2010-11-10,2012-02-21
8061598,2887,"LE, THIEN MINH",2011-01-24,2011-11-22
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
8336772,2887,"LE, THIEN MINH",2011-08-17,2012-12-25
8234184,3625,"ALLEN, WILLIAM J",2005-07-15,2012-07-31
6999938,3625,"SMITH, JEFFREY A",1999-07-16,2006-02-14
7856375,3688,"ALVAREZ, RAQUEL",2006-12-29,2010-12-21
7890366,3688,"ALVAREZ, RAQUEL",2006-12-22,2011-02-15
8738435,3682,"ALVAREZ, RAQUEL",2013-12-09,2014-05-27
7860744,3688,"ALVAREZ, RAQUEL",2007-04-27,2010-12-28
5987434,3623,"JEANTY, ROMAIN",1996-06-10,1999-11-16
8794516,2887,"LE, THIEN MINH",2012-04-03,2014-08-05
5995947,3693,"MERCHANT, SHAHID R",1997-09-12,1999-11-30
7860222,2614,"TIEU, BINH KIEN",2006-06-30,2010-12-28
7269854,2137,"PYZOCHA, MICHAEL J",2001-02-20,2007-09-11
7711100,3687,"RUDY, ANDREW J",2006-04-17,2010-05-04
8838074,2645,"MEHRA, INDER P",2013-03-04,2014-09-16
8843120,2645,"MEHRA, INDER P",2012-01-13,2014-09-23
8843141,2645,"MEHRA, INDER P",2013-07-17,2014-09-23
8098600,2617,"MEHRA, INDER P",2010-02-01,2012-01-17
8423402,3684,"MEINECKE DIAZ, SUSANNA M",2012-07-19,2013-04-16
5816918,3737,"MANUEL, GEORGE C",1996-11-14,1998-10-06
5816918,3737,"MANUEL, GEORGE C",1996-11-14,1998-10-06
