patentId,Art Unit,Examiner Name


"8336772,2887,""LE, THIEN MINH"""

"8336772,2887,""LE, THIEN MINH"""

"8336772,2887,""LE, THIEN MINH"""

"6996538,3627,""MCALLISTER, STEVEN B"""

"7631191,2434,""POWERS, WILLIAM S"""

"7774280,3621,""WEST, THOMAS C"""

"8583556,3685,""AUGUSTIN, EVENS J"""

"8583556,3685,""AUGUSTIN, EVENS J"""

"8001053,3621,""AUGUSTIN, EVENS J"""

"5793302,2683,""ZIMMERMAN, BRIAN A"""

"8583556,3685,""AUGUSTIN, EVENS J"""

"8583556,3685,""AUGUSTIN, EVENS J"""

"5664110,2411,""POINVIL, FRANTZY"""

"7062749,2193,""INGBERG, TODD D"""

"7603674,2194,""HO, ANDY"""

"8527407,3691,""HAMILTON, LALITA M"""

"8744963,3691,""HAMILTON, LALITA M"""

"6292547,2643,""WOO, STELLA L"""

"7461049,2163,""NGUYEN, MERILYN P"""

"6810401,2172,""WOO, ISAAC M"""

"6766304,3624,""WEISBERGER, RICHARD C"""

"6772132,3624,""WEISBERGER, RICHARD C"""

"8336772,2887,""LE, THIEN MINH"""

"6792373,2863,""BUI, BRYAN"""

"7024387,3625,""THOMPSON JR, FOREST"""

"7178020,2132,""PEESO, THOMAS R"""

"7178020,2132,""PEESO, THOMAS R"""

"8676609,3691,""GRAHAM, CLEMENT B"""

"7958204,2448,""VU, VIET DUY"""

"5895468,2771,""ALAM, HOSAIN T"""

"8396808,3687,""LUDWIG, PETER L"""

"8352317,3682,""ALVAREZ, RAQUEL"""

"7584167,2163,""THAI, HANH B"""

"6397224,2175,""MOFIZ, APU M"""

"5841115,2876,""RODRIGUEZ, DOUGLAS X"""

"6182078,2154,""ALAM, HOSAIN T"""

"7558807,2166,""WOO, ISAAC M"""

"7925981,2448,""LUU, LE HIEN"""

"6218930,2685,""NGUYEN, TAI T"""

"6384850,2173,""NGUYEN, CAO H"""

"8146077,2191,""BROPHY, MATTHEW J"""

"6871325,2173,""NGUYEN, CAO H"""

"7349837,2123,""THANGAVELU, KANDASAMY"""

"7349837,2123,""THANGAVELU, KANDASAMY"""

"8473452,2156,""AL HASHEMI, SANA A"""

"7818214,3688,""CHAMPAGNE, DONALD"""

"8027883,3688,""CHAMPAGNE, DONALD"""

"6384850,2173,""NGUYEN, CAO H"""

"7271929,2625,""COLES, EDWARD L"""

"8630942,3691,""CAMPEN, KELLY SCAGGS"""

"8146077,2191,""BROPHY, MATTHEW J"""

"6384850,2173,""NGUYEN, CAO H"""

"6871325,2173,""NGUYEN, CAO H"""

"5940510,2131,""CHACE, CHRISTIAN"""

"6871325,2173,""NGUYEN, CAO H"""

"6105013,3662,""GREGORY, BERNARR E"""

"6237095,2437,""SMITHERS, MATTHEW"""

"5569082,3714,""LEWIS, DAVID LEE"""

"5709603,3711,""SAGER, MARK ALAN"""

"7062683,2114,""LOHN, JOSHUA A"""

"7945860,2448,""LUU, LE HIEN"""

"8838074,2645,""MEHRA, INDER P"""

"8843120,2645,""MEHRA, INDER P"""

